158.5,204.5,74,70.5,142,46.5,98.5,162.5,M
53,276.5,151.5,82.5,9,115,143.5,214,S
428,211,94.5,145.5,3.5,151,74,96,L
235,119.5,112.5,59.5,50,94,144.5,118.5,M
214.5,154.5,154,69,70,30,44.5,283,L
231.5,440,26,59.5,24.5,157.5,113.5,155,M
155.5,384.5,98.5,62,92.5,62,94,129,M
503.5,57,139.5,82.5,85,57,103,120,L
287,96.5,139,84,26,15.5,85.5,122,L
209.5,531.5,47,15,48.5,20,220,109,S
365,61.5,63,44,16,42,117.5,90.5,M
197,529.5,156.5,76.5,135,15,131,296.5,L
